Date,ATVI,GOOGL,GOOG,T,CHTR,CMCSA,DISCA,DISCK,DISH,EA,FB,IPG,LYV,NFLX,NWSA,TMUS,TTWO,DIS,TWTR,VZ
9/25/17,60.9279213,934.2800293,920.9699707,31.56199265,357.5799866,35.27353668,21.35000038,20.36000061,54,114.048027,162.8699951,18.53404236,42.84000015,178.5500031,12.61712742,62.88999939,97.62000275,96.05957794,16.97999954,42.81148911
9/26/17,60.55533218,937.4299927,924.8599854,31.23927689,359.0400085,35.18050385,21.28000069,20.29000092,52.15000153,113.7684021,164.2100067,18.29063416,42.59000015,179.3800049,12.53109932,63.02999878,97.48000336,95.15270996,16.59000015,42.47688675
9/27/17,61.85939026,959.9000244,944.4899902,31.27960777,362.8500061,35.85041809,21.46999931,20.34000015,53.31000137,115.8156738,167.6799927,18.481884,43.00999832,181.9700012,12.67447758,62.38999939,100.1299973,95.74121094,16.95000076,42.47688675
9/28/17,62.3006134,964.8099976,949.5,31.49744606,360.9500122,35.18980026,21.38999939,20.23999977,53.00999832,116.4548264,168.7299957,17.9689827,43.15999985,180.6999969,12.67447758,61.91999817,100.8899994,94.59316254,16.85000038,42.39110184
9/29/17,63.25169373,973.7199707,959.1099854,31.60232735,363.4200134,35.80389786,21.29000092,20.26000023,54.22999954,117.9028931,170.8699951,18.07330513,43.54999924,181.3500061,12.67447758,61.65999985,102.2300034,95.09483337,16.87000084,42.45973587
10/2/17,62.15354156,967.4699707,953.2700195,31.55391884,364.1099854,35.32936859,21.53000069,20.40999985,53.83000183,117.7930374,169.4700012,18.44710922,42.81000137,177.0099945,12.69359303,61.52000046,100.4300003,96.33935547,17.09000015,42.34820175
10/3/17,62.21236801,972.0800171,957.789978,31.85243225,369.5100098,35.7853241,21.53000069,20.39999962,54.31999969,117.8030243,169.9600067,18.15153885,42.65999985,179.1900024,12.77961922,61.68000031,101.0699997,97.23656464,17.59000015,42.76859283
10/4/17,61.40836716,966.7800293,951.6799927,31.86857033,371.0899963,36.05627823,21.71999931,20.56999969,54.09000015,118.4022293,168.4199982,18.51665688,43.04999924,184.4499969,12.77006054,61.5,102.9800034,97.00502777,17.75,42.81148911
10/5/17,61.85939026,985.1900024,969.960022,31.87664413,369.7200012,35.83203888,21.52000046,20.37000084,54.02999878,119.3609467,171.2400055,18.55143356,42.88000107,194.3899994,12.83697224,61.52000046,104.4700012,96.58053589,18.25,42.69995499
10/6/17,62.01626968,993.6400146,978.8900146,31.52536583,367.3999939,35.51436615,21.40999985,20.25,53.33000183,119.930191,172.2299957,18.3601799,42.81999969,198.0200043,12.70315266,62.40999985,107.2300034,96.54193878,17.85000038,42.37870407
10/9/17,59.98664474,992.3099976,977,31.28845787,366.0499878,35.31814575,20.82999992,19.79000092,51.68000031,118.4621506,172.5,18.29063416,42.84999847,196.8699951,12.59800911,61.56000137,104.1100006,96.05957794,17.67000008,42.58708572
10/10/17,60.25138092,987.7999878,972.5999756,31.45183754,364.9200134,35.21537399,20.53000069,19.39999962,51.70000076,117.6632156,171.5899963,18.24716377,42.77999878,195.0800018,12.90387821,61.22999954,102.6699982,96.06922913,17.40999985,42.66522598
10/11/17,60.16313934,1005.650024,989.25,31.19858932,365.1199951,34.96310425,20,18.93000031,51.65000153,115.8955688,172.7400055,17.86466217,42.79000092,194.9499969,12.88476181,61.18000031,103.5999985,95.07553864,17.72999954,42.42211914
10/12/17,60.8396759,1005.650024,987.8300171,29.29513931,355.7099915,33.58961487,19.28000069,18.22999954,49.02999878,116.9841156,172.5500031,17.69079781,42.18999863,195.8600006,12.94211197,61.27999878,103.4400024,93.51264954,18.45000076,41.97932053
10/13/17,59.8885994,1007.869995,989.6799927,29.16443634,357.3999939,33.64567947,19.23999977,18.25,48.38000107,118.4621506,173.7400055,18.09938049,41.97000122,199.4900055,13.0759306,61.38999939,104.5800018,93.94678497,18.62999916,41.55388641
10/16/17,60.28079224,1009.349976,992,29.54839325,362.6000061,34.20628357,19.05999947,18.04999924,49.02999878,117.3236694,174.5200043,17.9689827,41.77999878,202.6799927,13.0759306,60.97000122,104.7799988,94.67033386,18.32999992,41.75357437
10/17/17,60.45728302,1011,992.1799927,29.59740829,357.8399963,34.07548523,19.15999985,18.09000015,48.84999847,115.8256683,176.1100006,18.29063416,41.40999985,199.4799957,13.01858044,60.93999863,103.9000015,94.89224243,18.28000069,42.02272415
