Date,APA,BKR,COG,CVX,COP,DVN,FANG,EOG,XOM,HAL,HES,HFC,KMI,MRO,MPC,NOV,OXY,OKE,PSX,PXD,SLB,FTI,VLO,WMB
6/20/17,43.73502731,34.40932846,21.11994743,91.45497131,41.46691132,28.59280968,83.13773346,82.88639069,67.39499664,40.10916519,38.80813217,22.98961449,15.29091263,11.55337906,46.22488785,32.46200562,51.57182693,36.53306961,69.63503265,152.331665,58.14831161,24.88603783,55.32167435,22.9533329
6/21/17,41.84705353,34.02473068,21.07280922,89.74577332,40.67956161,27.66601944,82.86074829,82.19764709,66.68266296,39.02787781,37.61375427,23.00740242,15.28265858,11.12228012,45.24528503,31.44421577,50.81653976,36.46384811,69.05728912,149.5818329,57.03325653,24.76450157,54.50428772,22.48505974
6/22/17,41.81956863,33.82001495,21.55366135,89.71141052,40.55286789,27.53755569,82.1252594,82.73542786,66.38786316,38.72290802,38.26692581,23.68330574,15.3404541,11.10312176,44.75548553,31.1604023,51.09659576,36.75611496,69.07479095,149.3116608,56.94614029,24.98886681,54.62226105,22.74341583
6/23/17,42.231987,33.49124527,22.38337517,90.18380737,40.570961,27.96883392,84.43675232,82.82975769,66.82183838,38.35322952,38.63084412,24.1457634,15.51383686,11.04564381,45.04411316,30.96467209,51.0202179,37.83287811,70.26528931,150.4501801,57.43397522,24.96082115,55.59976959,23.211689
6/26/17,42.35112381,33.31135941,22.91137123,89.44515991,40.02796555,28.18906212,83.38607025,82.45238495,66.51888275,38.53806686,38.80813217,24.29694939,15.58814621,11.04564381,44.89543152,31.11147118,50.92686462,38.8711853,70.23903656,149.7555084,57.39912415,25.12909508,55.65032959,23.38930893
6/27/17,42.35112381,33.10664749,23.09994125,89.38504028,39.79266739,27.84954262,84.04514313,83.02790833,66.41246033,38.38095856,38.60284805,24.59044075,15.61291313,10.87320232,45.35024261,31.02339172,50.60438156,38.97886276,70.50163269,148.8485718,56.93743515,25.16649055,56.29919052,23.55077934
6/28/17,43.20346451,33.18729401,23.0810833,89.5654068,39.78362274,28.0330677,82.717453,83.99027252,66.7563324,38.82456207,39.27468491,24.82166862,15.70373535,10.96900368,46.0237236,31.09189987,50.5534668,39.1480751,71.59585571,150.1896973,56.84160614,25.46564484,56.85535431,24.01904678
6/29/17,43.48757553,33.1996994,23.40165329,89.42798615,39.89222336,29.18925858,83.37651825,84.91492462,66.07674408,39.20346832,40.12381744,24.90171432,15.72024918,11.21808147,45.31525803,31.74759483,50.7486496,39.62492371,71.6658783,152.9009552,56.95485306,25.44694901,56.53513336,24.05941391
6/30/17,43.92749023,33.81380463,23.64680099,89.60836029,39.78362274,29.33607674,84.82836151,85.40551758,66.10131836,39.47148895,40.93562698,24.43035889,15.81932354,11.35219955,45.77008057,32.23692322,50.80805206,40.1171608,72.38366699,153.9719238,57.35557938,25.42825508,56.84692001,24.44695091
7/3/17,45.21058655,35.78024292,23.69394112,91.30033875,41.32211304,30.0793438,86.29933167,87.15100861,67.22303772,40.40489578,42.38195038,24.9283905,16.11655807,11.63001823,46.4435463,33.17644119,51.98766327,40.01717377,72.95264435,157.0498352,58.33996201,26.36311722,57.31882477,24.89100075
