Date,MO,ADM,CPB,CHD,KO,CL,CAG,STZ,COST,COTY,EL,GIS,HRL,SJM,K,KMB,KHC,KR,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SYY,CLX,HSY,TSN,WBA,WMT
3/29/17,57.74026108,40.70231247,50.75233078,47.32561493,37.50554276,66.91739655,36.49107361,154.656189,150.7152557,16.54168892,82.35315704,51.1407547,31.87633705,117.7992401,64.14443207,117.4415054,77.04764557,26.99014091,45.91857147,88.63642883,40.34134674,47.22999954,100.5817566,92.52783966,80.70178223,46.81680679,123.004509,99.7390976,57.3053093,74.1049881,65.41496277
3/30/17,57.02009201,40.58787918,50.34680176,47.31615829,37.66469574,66.6171875,36.21237564,153.475174,151.1293335,16.22118187,82.17982483,50.82242203,31.53527069,116.617569,63.67044067,117.1845169,76.71918488,26.86135864,45.67505264,87.63689423,39.90796661,46.25999832,100.3580933,92.62574768,80.3454895,47.00656891,122.3983688,99.09304047,57.08305359,73.69805908,66.20097351
3/31/17,56.52149582,40.52626419,50.46141434,47.16483688,37.52322006,66.58081818,36.26631927,153.1256104,150.9492798,16.14105225,81.65021515,50.77079391,31.92243767,116.4576721,63.73188782,116.6439667,76.47496796,27.12813377,45.6844101,87.76528168,39.72355652,46.16999817,100.0718231,92.11988068,80.03372192,46.91620255,121.9822159,99.41152191,57.14787674,73.46807098,66.65410614
4/3/17,56.67979813,40.31501389,50.15285492,47.18374634,37.49670792,66.74454498,36.27531433,152.7382507,150.058136,15.79383659,80.40795898,50.37503052,31.81180191,116.4576721,63.5212326,116.5376205,76.68551636,27.04534149,45.96540451,87.536026,39.69588852,45.75999832,100.0718231,92.1280365,79.88230133,46.70837021,121.719841,99.11122131,57.39790726,73.3795929,66.42292786
4/4/17,56.94094849,39.97171021,50.05587006,47.05134964,37.73542023,66.97199249,36.15843964,152.5964813,150.5532532,15.29527473,81.9101944,50.2287674,31.70118523,116.2089005,63.43346786,117.1667938,76.82024384,27.31211472,46.09185028,87.65522766,40.07394028,46.02000046,100.2686386,92.56863403,80.0871582,46.63608551,121.8917542,98.62897491,57.48125839,72.98152924,66.58937073
4/5/17,56.92512512,39.8396759,50.04706573,46.88111115,37.63816452,66.82641602,36.32026291,152.4925537,150.328186,15.27746677,82.08353424,50.11691284,31.76571465,115.5159073,63.85475922,116.7059708,76.98868561,26.9625473,47.1315155,87.536026,40.58108902,45.93000031,100.1433945,92.35649109,80.14060974,46.89072037,121.4755783,99.24773407,57.37013245,71.80497742,66.2564621
4/6/17,56.52149582,39.83088303,49.88838577,47.06079865,37.72657394,66.52622223,36.39218521,162.2902679,153.0467377,15.3932066,81.24575806,50.04750824,31.69197083,115.0006027,63.55634689,116.1831665,76.59287262,27.14653206,47.08917236,88.03121948,40.67330551,45.75,99.8213501,91.86691284,79.63287354,46.96347809,120.2813492,99.07483673,57.99059677,72.23843384,66.05301666
4/7/17,56.75100708,39.51397705,49.72969818,46.86218643,37.67353058,66.81730652,36.40117645,160.9675293,153.586792,15.17953491,81.0338974,50.01281357,31.57213974,114.9650726,63.71434784,116.3781204,76.38233185,27.46849442,46.85861206,87.45350647,40.73785019,45.84999847,99.84816742,92.69103241,79.48146057,47.09989548,120.5256195,99.65719604,57.5646019,72.83114624,67.41235352
4/10/17,56.79057693,39.60200882,50.12001038,47.17429733,37.7442627,67.072052,36.47309494,161.8178558,154.1269379,15.32197857,81.58279419,49.90002823,31.71041298,113.4458389,63.43346786,116.9009476,76.54234314,27.77206802,46.94330597,87.93035126,40.94071579,45.81999969,100.2149658,92.24225616,79.71305084,47.3181572,120.9689407,98.56526947,58.01838684,72.9903717,67.56031799
4/11/17,57.04383087,39.2059021,50.24420547,47.29722977,37.71774292,67.04473114,36.41016006,160.9486694,153.5958099,15.47332954,81.70797729,49.81327438,31.61822701,113.5169067,63.32813263,117.5301056,76.49182129,27.20172691,46.89625931,87.64606476,40.62719727,45.36000061,99.95553589,92.54415131,79.98918915,47.3636322,121.7108154,98.64716339,58.21286011,73.1407547,67.90246582
4/12/17,57.10715485,39.30273438,50.59016037,47.30669403,37.9652977,67.31764984,36.51805496,160.5801849,153.1817322,15.66919708,81.77536774,49.9520874,31.57213974,113.8989258,63.48613739,117.9466095,77.41816711,27.46849442,46.97623825,87.62773895,40.93148804,45.40000153,101.6373978,92.83787537,80.44345856,47.48185349,121.8103027,99.22953033,59.50936508,73.0434494,67.91171265
4/13/17,56.42653656,38.97703552,49.80066299,47.098629,37.83267975,67.00836945,36.24834061,159.6259003,151.9844971,15.92738152,81.79466248,49.59638977,31.53507996,113.1704102,63.15258026,117.5655518,77.05604553,27.56968498,46.67041016,86.71074677,40.60876083,44.90000153,100.8054123,92.25041199,80.19405365,47.19993591,121.10466,98.45608521,58.77776337,72.96382904,67.64354706
4/17/17,57.22584915,39.32913208,50.19984818,47.60933685,38.08023453,67.3813324,36.37420273,160.7313232,152.7586517,16.15885925,82.19909668,49.96943283,31.92417145,113.7301254,63.46857071,118.1858597,77.12341309,27.59728813,47.10328293,87.2334137,40.70096207,45.00999832,101.3779678,93.62120056,80.51472473,47.40001297,122.9249725,98.91103363,59.69457245,73.53882599,67.95796204
4/18/17,57.2495842,39.97171021,50.73209381,47.94980621,38.44274902,67.6542511,36.67087555,162.7060089,153.145752,16.3903389,83.0946579,50.45524979,32.19283295,113.8189774,64.05664825,118.6643829,77.89820099,27.43169975,47.37618256,88.32465363,41.25422287,45.31000137,102.2367935,94.00469208,80.87994385,47.65465164,123.4073029,99.61170197,60.41690445,73.2645874,68.32783508
4/19/17,57.06755829,39.25870895,50.81193161,47.90252304,38.22170258,67.12376404,36.39218521,162.450882,153.0827026,16.01641464,82.44947052,50.17763519,31.99829102,113.2770386,63.77577209,118.0263748,77.35080719,27.55129051,47.29619217,88.17793274,41.14356232,45.09999847,101.6463623,92.9439621,80.42217255,47.39090729,123.3345184,98.8473587,59.85200119,73.87499237,68.49430084
4/20/17,56.5135994,39.52279282,51.00708389,47.5431366,38.09792328,66.93169403,36.60795212,163.4051514,153.1637268,15.93628407,82.84427643,50.21233749,31.98902321,113.2414856,63.88988876,116.2894897,77.51081085,27.33050919,47.25854492,87.16007233,41.47551727,45.74000168,101.6195145,89.73730469,80.17983246,47.70013046,123.4619446,99.00204468,60.2317009,74.43230438,69.1693573
4/21/17,56.5610733,39.44356918,50.87401962,47.52423096,38.08023453,66.78534698,36.55401611,162.5926208,153.7218323,15.66919708,82.02574921,50.08221054,32.13725281,112.4596481,63.56513214,115.164093,77.14026642,27.55129051,47.23973465,86.98582458,41.43864059,45.38999939,101.4764023,89.443573,79.54256439,47.47277451,122.2241058,97.72811127,60.32429504,74.33499146,69.29879761
4/24/17,57.41578293,39.94530869,51.43289185,47.65662384,38.2659111,67.37071991,36.79674149,163.4806976,155.1260681,15.87396812,82.8057785,50.4378891,32.36884689,112.9749603,63.87231445,115.5539856,77.94871521,27.72607231,47.55967712,88.06789398,41.85357285,45.47000122,102.2725754,91.70373535,80.37728882,48.07300186,122.8066177,98.67446899,60.55581665,74.55615234,69.15085602
4/25/17,57.32082367,40.12135315,51.08692551,47.57151413,38.11560822,67.88288879,35.35831833,163.0177612,155.4411621,16.22118187,84.14428711,50.5246582,32.8228035,112.7706146,63.503685,117.6984711,77.72135162,27.45009804,47.37146378,88.50804901,41.96421814,45.36999893,102.1294632,92.27489471,80.78120422,48.31854248,123.9170151,98.6926651,60.31503296,76.00693512,69.40052795
